
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-02-04 11:33

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T120F484
# Package status: preliminary
# Project: DdrControllerDebug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
W10,GPIOB_TXP25,,,4D,3.3 V LVTTL / LVCMOS,,User IO
AB10,GPIOB_TXP26,,,4D,3.3 V LVTTL / LVCMOS,,User IO
V3,GPIOL_00_SS_N,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
W1,GPIOL_01_CCK,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
V6,GPIOL_04_CSI,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
U5,GPIOL_05_CSO,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
V2,GPIOL_08_CDI0,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
V1,GPIOL_09_CDI1,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
U4,GPIOL_11_CBUS0,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
U6,GPIOL_12_CBUS1,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
T4,GPIOL_13_CBUS2,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
T6,GPIOL_14_CDI2,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
R2,GPIOL_15_PLLIN0,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
R8,GPIOL_16_CDI3,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
R3,GPIOL_17_EXTFB0,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_EXTFB
R7,GPIOL_18_CDI4,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
R4,GPIOL_19_PLLIN1,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
R6,GPIOL_20_CDI5,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P8,GPIOL_22_CDI6,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P7,GPIOL_24_CDI7,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P4,GPIOL_36,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
N7,GPIOL_40,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P6,GPIOL_45,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P5,GPIOL_47,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
R1,GPIOL_49,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P2,GPIOL_50,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P3,GPIOL_51,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
P1,GPIOL_52,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
N5,GPIOL_53,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
N4,GPIOL_56,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
M7,GPIOL_58,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO
N1,GPIOL_62_CTRL0,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
N2,GPIOL_63_CTRL1,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
M4,GPIOL_64_CTRL2,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
M1,GPIOL_65_CTRL3,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
M6,GPIOL_66_CLK0,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
M3,GPIOL_67_CLK1,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L1,GPIOL_68_CLK2,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L2,GPIOL_69_CLK3,,Input,1B_1C,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L7,GPIOL_70_CLK4,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L5,GPIOL_71_CLK5,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L6,GPIOL_72_CLK6,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L3,GPIOL_73_CLK7,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
L4,GPIOL_74_CTRL4,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
K8,GPIOL_75_CTRL5,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
K7,GPIOL_76_CTRL6,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
K6,GPIOL_77_CTRL7,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
K4,GPIOL_79,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
K5,GPIOL_81,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J5,GPIOL_85,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
K1,GPIOL_87,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J4,GPIOL_88,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
K2,GPIOL_89,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J3,GPIOL_91,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J7,GPIOL_115,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J8,GPIOL_116,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J2,GPIOL_117,,Input,1D_1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J1,GPIOL_119,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H4,GPIOL_121,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H6,GPIOL_123,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H3,GPIOL_131,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H1,GPIOL_133,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G6,GPIOL_134,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G1,GPIOL_136,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G4,GPIOL_138,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G3,GPIOL_141,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G2,GPIOL_142,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G5,GPIOL_147,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
F5,GPIOL_150_NSTATUS,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
F1,GPIOL_151_TEST_N,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
F4,GPIOL_156_CBSEL0,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
E2,GPIOL_157_CBSEL1,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO
E3,GPIOL_160_PLLIN1,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
E5,GPIOL_162_EXTFB,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_EXTFB
E4,GPIOL_164_PLLIN0,,Input,1F_1G,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
C18,GPIOR_166_PLLIN0,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
A18,GPIOR_167_PLLIN1,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
D18,GPIOR_168_PLLIN2,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
A19,GPIOR_169_MREFCLK,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/MIPI_CLKIN
E19,GPIOR_170_CTRL15,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
C19,GPIOR_171_CTRL14,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
B19,GPIOR_172_CTRL13,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
D19,GPIOR_173_CTRL12,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
A20,GPIOR_174_CLK15,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
B20,GPIOR_175_CLK14,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
A21,GPIOR_176_CLK13,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
B21,GPIOR_177_CLK12,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
C21,GPIOR_178_CLK11,LED[0],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCLK
D20,GPIOR_179_CLK10,LED[1],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCLK
B22,GPIOR_180_CLK9,LED[2],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCLK
E21,GPIOR_181_CLK8,LED[3],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCLK
C22,GPIOR_182_CTRL11,LED[4],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
D22,GPIOR_183_CTRL10,LED[5],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
D21,GPIOR_184_CTRL9,LED[6],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
E22,GPIOR_185_CTRL8,LED[7],Output,3D_TR_BR,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
M15,GPIOR_186_PLLIN0,DdrPllClkIn,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pulldown,User IO/PLL_CLKIN
L15,GPIOR_187_PLLIN1,AxiPllClkIn,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pulldown,User IO/PLL_CLKIN
K15,GPIOR_188_PLLIN2,,Input,3D_TR_BR,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
B11,GPIOT_RXN01,,,2D,3.3 V LVTTL / LVCMOS,,User IO
D11,GPIOT_RXN02,,,2D,3.3 V LVTTL / LVCMOS,,User IO
H11,GPIOT_RXN03,,,2D,3.3 V LVTTL / LVCMOS,,User IO
C12,GPIOT_RXN04,,,2D,3.3 V LVTTL / LVCMOS,,User IO
G12,GPIOT_RXN08_EXTFB0,,,2D,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
E12,GPIOT_RXN09_CLKN0,,,2D,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
A13,GPIOT_RXN11,,,2E,3.3 V LVTTL / LVCMOS,,User IO
G13,GPIOT_RXN12,,,2E,3.3 V LVTTL / LVCMOS,,User IO
C13,GPIOT_RXN13,,,2E,3.3 V LVTTL / LVCMOS,,User IO
E13,GPIOT_RXN14,,,2E,3.3 V LVTTL / LVCMOS,,User IO
A14,GPIOT_RXN15,,,2E,3.3 V LVTTL / LVCMOS,,User IO
H14,GPIOT_RXN16,,,2E,3.3 V LVTTL / LVCMOS,,User IO
A15,GPIOT_RXN18_EXTFB1,,,2E,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
D14,GPIOT_RXN19_CLKN1,,,2E,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
B16,GPIOT_RXN20,,,2F,3.3 V LVTTL / LVCMOS,,User IO
B17,GPIOT_RXN21,,,2F,3.3 V LVTTL / LVCMOS,,User IO
D15,GPIOT_RXN22,,,2F,3.3 V LVTTL / LVCMOS,,User IO
C15,GPIOT_RXN23,,,2F,3.3 V LVTTL / LVCMOS,,User IO
F15,GPIOT_RXN24,,,2F,3.3 V LVTTL / LVCMOS,,User IO
H16,GPIOT_RXN27,,,2F,3.3 V LVTTL / LVCMOS,,User IO
E16,GPIOT_RXN28_EXTFB2,,,2F,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
F17,GPIOT_RXN29_CLKN2,,,2F,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
A11,GPIOT_RXP01,,,2D,3.3 V LVTTL / LVCMOS,,User IO
E11,GPIOT_RXP02,,,2D,3.3 V LVTTL / LVCMOS,,User IO
G11,GPIOT_RXP03,,,2D,3.3 V LVTTL / LVCMOS,,User IO
C11,GPIOT_RXP04,,,2D,3.3 V LVTTL / LVCMOS,,User IO
H12,GPIOT_RXP08_EXTFB0,,,2D,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
F12,GPIOT_RXP09_CLKP0,,,2D,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
A12,GPIOT_RXP11,,,2E,3.3 V LVTTL / LVCMOS,,User IO
H13,GPIOT_RXP12,,,2E,3.3 V LVTTL / LVCMOS,,User IO
B13,GPIOT_RXP13,,,2E,3.3 V LVTTL / LVCMOS,,User IO
F13,GPIOT_RXP14,,,2E,3.3 V LVTTL / LVCMOS,,User IO
B14,GPIOT_RXP15,,,2E,3.3 V LVTTL / LVCMOS,,User IO
G14,GPIOT_RXP16,,,2E,3.3 V LVTTL / LVCMOS,,User IO
B15,GPIOT_RXP18_EXTFB1,,,2E,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
E14,GPIOT_RXP19_CLKP1,,,2E,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
A16,GPIOT_RXP20,,,2F,3.3 V LVTTL / LVCMOS,,User IO
A17,GPIOT_RXP21,,,2F,3.3 V LVTTL / LVCMOS,,User IO
E15,GPIOT_RXP22,,,2F,3.3 V LVTTL / LVCMOS,,User IO
C16,GPIOT_RXP23,,,2F,3.3 V LVTTL / LVCMOS,,User IO
G15,GPIOT_RXP24,,,2F,3.3 V LVTTL / LVCMOS,,User IO
J16,GPIOT_RXP27,,,2F,3.3 V LVTTL / LVCMOS,,User IO
F16,GPIOT_RXP28_EXTFB2,,,2F,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
G17,GPIOT_RXP29_CLKP2,,,2F,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
E1,GPIOT_TXN01,,,2A,3.3 V LVTTL / LVCMOS,,User IO
